X,Y,support,confidence,lift
"Existing Construction Type:5, Supervisor District:8",Proposed Construction Type:5,0.005148316,0.925022584,22.66966386
"Existing Construction Type:2, Proposed Construction Type:2",Permit Type:8,0.00511815,0.80347277,14.47954462
Proposed Construction Type:2,"Permit Type:8, Existing Construction Type:2",0.00511815,0.755192878,146.4014264
Existing Construction Type:2,"Permit Type:8, Proposed Construction Type:2",0.00511815,0.703038674,132.5444476
"Permit Type:8, Proposed Construction Type:2",Existing Construction Type:2,0.00511815,0.96492891,132.5444476
"Permit Type:8, Existing Construction Type:2",Proposed Construction Type:2,0.00511815,0.992202729,146.4014264
"Existing Construction Type:1, Current Status:complete",Proposed Construction Type:1,0.005072901,0.878919861,62.90649884
"Proposed Construction Type:1, Current Status:complete",Existing Construction Type:1,0.005072901,0.879686138,62.44452991
Supervisor District:8,Permit Type:8,0.005047763,0.605914303,10.91930369
"Permit Type:8, Existing Use:1 family dwelling",Existing Construction Type:5,0.005042735,0.836530442,20.24159427
"Permit Type:8, Existing Use:1 family dwelling",Proposed Construction Type:5,0.004942182,0.819849875,20.09218089
"Proposed Construction Type:5, Supervisor District:2",Existing Construction Type:5,0.004932127,0.928098392,22.4572713
"Existing Construction Type:5, Supervisor District:2",Proposed Construction Type:5,0.004932127,0.908333333,22.26065796
"Permit Type:8, Existing Use:1 family dwelling, Proposed Construction Type:5",Existing Construction Type:5,0.004841629,0.97965412,23.7047694
"Permit Type:8, Existing Use:1 family dwelling","Existing Construction Type:5, Proposed Construction Type:5",0.004841629,0.803169308,21.4545226
"Permit Type:8, Existing Construction Type:5, Existing Use:1 family dwelling",Proposed Construction Type:5,0.004841629,0.960119641,23.52979258
Zipcode:94110,Neighborhoods - Analysis Boundaries:Mission,0.004821518,0.670160727,81.12901312
"Supervisor District:5, Proposed Construction Type:5",Existing Construction Type:5,0.004821518,0.930164888,22.50727449
"Supervisor District:5, Existing Construction Type:5",Proposed Construction Type:5,0.004821518,0.934697856,22.90677717
Zipcode:94109,Permit Type:8,0.004700855,0.670731707,12.08739119
Zipcode:94110,Supervisor District:9,0.004595274,0.638714186,91.39586444
Supervisor District:9,Zipcode:94110,0.004595274,0.657553957,91.39586444
Structural Notification:Y,Permit Type:3,0.004580191,0.653046595,29.30752882
Zipcode:94110,Permit Type:8,0.004575163,0.635918938,11.46002326
Supervisor District:9,Permit Type:8,0.004459527,0.638129496,11.49986018
Supervisor District:9,Neighborhoods - Analysis Boundaries:Mission,0.004444444,0.635971223,76.99006467
"Proposed Construction Type:3, Current Status:complete",Permit Type:8,0.004323781,0.764444444,13.7762073
"Proposed Construction Type:1, Current Status:complete",Permit Type:8,0.004248366,0.736704446,13.27629921
Zipcode:94107,Permit Type:8,0.004172951,0.625,11.26325088
"Existing Construction Type:3, Current Status:complete",Permit Type:8,0.004137758,0.717523976,12.93064408
"Proposed Construction Type:3, Existing Construction Type:3, Current Status:complete",Permit Type:8,0.004087481,0.770616114,13.8874282
"Existing Construction Type:3, Current Status:complete","Permit Type:8, Proposed Construction Type:3",0.004087481,0.70880558,78.06280721
"Proposed Construction Type:3, Current Status:complete","Permit Type:8, Existing Construction Type:3",0.004087481,0.722666667,82.46609294
"Permit Type:8, Existing Construction Type:3, Current Status:complete",Proposed Construction Type:3,0.004087481,0.987849332,79.54786724
"Permit Type:8, Proposed Construction Type:3, Current Status:complete",Existing Construction Type:3,0.004087481,0.945348837,72.37485902
"Structural Notification:Y, Permit Type:3",Proposed Construction Type:5,0.004037205,0.881448957,21.60179862
"Structural Notification:Y, Proposed Construction Type:5",Permit Type:3,0.004037205,0.637807784,28.62363904
"Structural Notification:Y, Permit Type:3",Existing Construction Type:5,0.004022122,0.878155873,21.24880816
"Structural Notification:Y, Existing Construction Type:5",Permit Type:3,0.004022122,0.638977636,28.67613984
"Structural Notification:Y, Proposed Construction Type:5, Permit Type:3",Existing Construction Type:5,0.003966817,0.98256538,23.77521339
"Structural Notification:Y, Permit Type:3","Existing Construction Type:5, Proposed Construction Type:5",0.003966817,0.866081229,23.13504654
"Structural Notification:Y, Proposed Construction Type:5","Existing Construction Type:5, Permit Type:3",0.003966817,0.626687847,49.52253193
"Structural Notification:Y, Existing Construction Type:5, Permit Type:3",Proposed Construction Type:5,0.003966817,0.98625,24.17017311
"Structural Notification:Y, Existing Construction Type:5","Proposed Construction Type:5, Permit Type:3",0.003966817,0.630191693,48.00655986
"Structural Notification:Y, Existing Construction Type:5, Proposed Construction Type:5",Permit Type:3,0.003966817,0.637318255,28.60166989
Existing Use:food/beverage hndlng,Permit Type:8,0.003951735,0.613104524,11.04888012
"Proposed Construction Type:5, Supervisor District:3",Existing Construction Type:5,0.003936652,0.957212714,23.1617529
"Existing Construction Type:5, Supervisor District:3",Proposed Construction Type:5,0.003936652,0.914719626,22.41716777
"Existing Construction Type:1, Current Status:complete",Permit Type:8,0.003911513,0.677700348,12.21297448
"Current Status:issued, Existing Construction Type:1",Proposed Construction Type:1,0.003856209,0.822961373,58.90140956
"Proposed Construction Type:1, Current Status:issued",Existing Construction Type:1,0.003856209,0.847513812,60.16077703
"Permit Type:8, Existing Construction Type:1, Current Status:complete",Proposed Construction Type:1,0.003841126,0.982005141,70.28457093
"Existing Construction Type:1, Current Status:complete","Proposed Construction Type:1, Permit Type:8",0.003841126,0.665505226,69.30313589
"Proposed Construction Type:1, Existing Construction Type:1, Current Status:complete",Permit Type:8,0.003841126,0.757185332,13.64538938
"Proposed Construction Type:1, Current Status:complete","Permit Type:8, Existing Construction Type:1",0.003841126,0.66608544,75.74865299
"Proposed Construction Type:1, Permit Type:8, Current Status:complete",Existing Construction Type:1,0.003841126,0.904142012,64.18053039
"Supervisor District:6, Current Status:complete",Permit Type:8,0.003836099,0.653813196,11.7824993
"Proposed Construction Type:5, Existing Use:apartments",Permit Type:8,0.003836099,0.601735016,10.84398792
"Fire Only Permit:Y, Existing Construction Type:1",Proposed Construction Type:1,0.003831071,0.993481095,71.10593373
"Proposed Construction Type:1, Fire Only Permit:Y",Existing Construction Type:1,0.003831071,0.875862069,62.17307834
Existing Use:2 family dwelling,Permit Type:8,0.003821016,0.642434489,11.57744131
"Supervisor District:3, Current Status:complete",Permit Type:8,0.003821016,0.700460829,12.62314569
"Proposed Construction Type:5, Zipcode:94110",Existing Construction Type:5,0.003805933,0.922046285,22.31082799
"Existing Construction Type:5, Zipcode:94110",Proposed Construction Type:5,0.003805933,0.897983393,22.00701045
Zipcode:94102,Permit Type:8,0.003785822,0.603365385,10.87336912
